date,Y_Target_Spread
2023-06-11,-3.178606013948679
2023-06-12,-3.4262475112839
2023-06-13,-3.218308786728047
2023-06-14,-3.241890418358293
2023-06-15,-3.0109909710046026
2023-06-16,-2.6397150415998905
2023-06-17,-2.6105911535713227
2023-06-18,-2.717837805010648
2023-06-19,-2.71702162889854
2023-06-20,-2.5103472451765376
2023-06-21,-2.3374988322008026
2023-06-22,-2.2791209296378354
2023-06-23,-2.060542231068358
2023-06-24,-2.26543350704995
2023-06-25,-2.4905977878430146
2023-06-26,-2.5161179898753594
2023-06-27,-2.655131187505772
2023-06-28,-2.6031142827798166
2023-06-29,-2.78691861226148
2023-06-30,-2.6123518425043453
2023-07-01,-2.342425288475184
2023-07-02,-2.324633401420635
2023-07-03,-2.384885516195808
2023-07-04,-2.408177153265805
2023-07-05,-2.4584157531019826
2023-07-06,-2.4401163962585186
2023-07-07,-2.408341221866889
2023-07-08,-2.5227089070819395
2023-07-09,-2.5765811127117995
2023-07-10,-2.5719816098576644
2023-07-11,-2.380213826802295
2023-07-12,-2.304988949201144
2023-07-13,-2.2480289685483053
2023-07-14,-2.3213458706425625
2023-07-15,-2.382586714822932
2023-07-16,-2.232566477674021
2023-07-17,-2.225248667353918
2023-07-18,-2.322621819850056
2023-07-19,-0.7731215977213273
2023-07-20,-0.8650858493063653
2023-07-21,-2.449157043637631
2023-07-22,-2.4467121795271702
2023-07-23,-2.4343476249822986
2023-07-24,-2.378759097544209
2023-07-25,-2.274905964586675
2023-07-26,-2.263047019905498
2023-07-27,-2.5250350070542567
2023-07-28,-2.517242207269529
2023-07-29,-2.517186627234871
2023-07-30,27.409644132743107
2023-07-31,6.326722439637357
2023-08-01,4.511289411558793
2023-08-02,7.790975410593872
2023-08-03,3.4546516557572025
2023-08-04,3.7539678350783
2023-08-05,-2.499449544947932
2023-08-06,1.0355716993841
2023-08-07,-2.50563491050342
2023-08-08,0.4870019441948505
2023-08-09,3.534656049112246
2023-08-10,1.8862432986230937
2023-08-11,3.856197837857191
2023-08-12,-0.0319391738967942
2023-08-13,1.898217694583109
2023-08-14,5.055982281603522
2023-08-15,1.0895537897233911
2023-08-16,-2.458612897236661
2023-08-17,3.854329154551949
2023-08-18,-2.657711753468168
2023-08-19,-2.687250917559404
2023-08-20,-2.4693451989928934
2023-08-21,-2.623984479711428
2023-08-22,-2.962796368152888
2023-08-23,-2.913499889787984
2023-08-24,-2.891866186975328
2023-08-25,-2.7193688042717388
2023-08-26,-2.679674516234996
2023-08-27,-2.5747744917832462
2023-08-28,1.4849253999450711
2023-08-29,-2.5754431685958266
2023-08-30,-2.4802918005793777
2023-08-31,-2.535765955640747
2023-09-01,-2.5958491162576127
2023-09-02,-2.605577701657415
2023-09-03,-2.519890826364292
2023-09-04,-2.528379914115777
2023-09-05,2.250278431350135
2023-09-06,-2.4947274716825474
2023-09-07,-2.5441745524200026
2023-09-08,-2.496086385461735
2023-09-09,-2.509732855684628
2023-09-10,-1.901354447025332
2023-09-11,-1.6858708406369185
2023-09-12,-2.4653987388849146
2023-09-13,-1.1978807273197498
2023-09-14,-2.490506183575658
2023-09-15,-0.6818566259731362
2023-09-16,-2.0734059246911176
2023-09-17,-2.212813171446546
2023-09-18,-0.8421054863290065
2023-09-19,-2.4847595213307576
2023-09-20,-2.4761069292881
2023-09-21,-2.53684729638874
2023-09-22,-0.5885996557811346
2023-09-23,-0.4096053456500863
2023-09-24,-2.419574965440719
2023-09-25,-1.843360587507184
2023-09-26,-1.739575219203577
2023-09-27,-2.4875002426089923
2023-09-28,-1.7834349976851254
2023-09-29,3.345024100636704
2023-09-30,-1.7507644326389975
2023-10-01,-2.582007600579468
2023-10-02,-2.4985408936917124
2023-10-03,-2.534254243750803
2023-10-04,-2.6011872443529014
2023-10-05,-1.580288231156311
2023-10-06,-2.4839436724614616
2023-10-07,-2.477448614040951
2023-10-08,-2.534999576233673
2023-10-09,-1.4955397431883086
2023-10-10,-2.2124706928352444
2023-10-11,1.3571951792809571
2023-10-12,-1.391777996273578
2023-10-13,-2.498971041347241
2023-10-14,-2.486907828418403
2023-10-15,0.4961015369815289
2023-10-16,-0.2491773652365765
2023-10-17,-1.2386601789737668
2023-10-18,-2.509866871658749
2023-10-19,-2.479633795872114
2023-10-20,-2.519529728596166
2023-10-21,-2.6149587542515738
2023-10-22,-1.8497727438360947
2023-10-23,2.68674122134097
2023-10-24,3.972475275691497
2023-10-25,-2.554772053976076
2023-10-26,3.662433393061829
2023-10-27,-0.8526101590016015
2023-10-28,-1.4344963092369598
2023-10-29,-0.3019496085408963
2023-10-30,-2.479016063268711
2023-10-31,-2.5291811908358826
2023-11-01,1.558897120053218
2023-11-02,0.735920308291159
2023-11-03,-0.079009279012995
2023-11-04,1.7048694702752885
2023-11-05,3.789738967751699
2023-11-06,-2.60482113815373
2023-11-07,0.3028755941331296
2023-11-08,0.2560016588034717
2023-11-09,1.821435199162604
2023-11-10,-2.539256048191944
2023-11-11,1.6550321128803498
2023-11-12,-2.5804729188030096
2023-11-13,5.121072070910243
2023-11-14,5.682229746040916
2023-11-15,3.748850797399463
2023-11-16,5.53454374365336
2023-11-17,1.5582946479192517
2023-11-18,-1.3144716980229578
2023-11-19,1.9794466482934585
2023-11-20,1.0522728892930209
2023-11-21,0.3768989323859024
2023-11-22,-1.0810412644792669
2023-11-23,2.227376129954772
2023-11-24,-1.1649309585526009
2023-11-25,0.5890379422340581
2023-11-26,-1.264122317645481
2023-11-27,5.488611167836412
