,aave_apy,ondo_proxy_apy,spread_Aave_Ondo,aave_utilization_rate,aave_utilizacao_aceleracao,usdc_depeg_risk
2025-10-02,3.949459000425752,4.34571,-0.3962509995742485,0.7881401683894934,-0.0021718014856128,0.0002379099999999
2025-10-03,3.886752330038712,4.34404,-0.4572876699612878,0.781830737913962,-0.0063094304755314,0.0001894999999999
2025-10-04,3.640898979415547,4.34404,-0.7031410205844528,0.7567081961034039,-0.025122541810558,0.0002999999999999
2025-10-05,3.63908620372432,4.34404,-0.7049537962756798,0.75652811251697,-0.0001800835864338,0.00036621
2025-10-06,3.719536625760553,4.33853,-0.6189933742394476,0.7648278412042147,0.0082997286872446,0.0002818799999999
2025-10-07,3.664600089366506,4.33639,-0.6717899106334939,0.7591672836025081,-0.0056605576017065,0.00024267
2025-10-08,3.820704178008908,4.33437,-0.5136658219910917,0.7751775539444615,0.0160102703419534,0.0002667699999999
2025-10-09,3.778887897519528,4.33224,-0.5533521024804715,0.7709327614895894,-0.004244792454872,0.0003227399999999
2025-10-10,3.81178626688036,4.33023,-0.5184437331196401,0.7742539886055835,0.003321227115994,0.0002089499999999
2025-10-11,4.157515631603514,4.33023,-0.17271436839648668,0.8086135900520547,0.0343596014464712,0.0010839799999999
2025-10-12,3.632581457202479,4.33023,-0.6976485427975212,0.7558534173954092,-0.0527601726566454,4.745999999999917e-05
2025-10-13,3.561356095659418,,,0.748387024889878,-0.0074663925055312,7.999999999996898e-05
2025-10-14,3.691966122333311,4.32212,-0.6301538776666891,0.7619952870213167,0.0136082621314387,0.00012
2025-10-15,3.6059260451969366,4.32043,-0.7145039548030634,0.7530724916951723,-0.0089227953261443,0.00014
2025-10-16,3.7304886737031695,4.31987,-0.5893813262968304,0.7659783298743758,0.0129058381792034,0.00017507
2025-10-17,3.714097105661,4.31988,-0.6057828943390002,0.7642667685372554,-0.0017115613371203,0.0001995299999999
2025-10-18,3.56445775201101,4.31988,-0.7554222479889905,0.7487213931572428,-0.0155453753800125,0.0001201199999999
2025-10-19,3.48865079795434,4.31988,-0.8312292020456602,0.7407249724196283,-0.0079964207376145,5.776999999995702e-05
2025-10-20,3.916338001315464,4.31605,-0.3997119986845359,0.7847993745940032,0.0440744021743748,5.999999999994898e-05
2025-10-21,3.094577816631124,4.31471,-1.2201321833688756,0.6976273987154988,-0.0871719758785043,0.0001299999999999
2025-10-22,3.848454260347964,4.31414,-0.4656857396520362,0.7779863254731254,0.0803589267576265,0.0001345499999999
2025-10-23,3.8193912636689538,4.31313,-0.49373873633104637,0.775052575735906,-0.0029337497372193,0.0001600099999999
2025-10-24,3.908819617084337,4.3118,-0.40298038291566307,0.7840452541010684,0.0089926783651623,0.0001401599999999
2025-10-25,3.593651198454588,4.3118,-0.718148801545412,0.7824786797828586,-0.0015665743182098,7.999999999996898e-05
2025-10-26,3.569404293905383,4.3118,-0.7423957060946167,0.7798429203624312,-0.0026357594204273,0.00015644
2025-10-27,3.5848180179632214,4.30774,-0.7229219820367785,0.781506982112681,0.0016640617502498,0.00016
2025-10-28,3.588375998677308,4.30673,-0.7183540013226919,0.7819032614021537,0.0003962792894727,0.0001378699999999
2025-10-29,3.6650636988771614,4.30662,-0.6415563011228382,0.7902230535122956,0.0083197921101418,0.00017818
2025-10-30,3.6353081333654216,4.30527,-0.6699618666345786,0.787017643292206,-0.0032054102200895,0.00014
2025-10-31,3.6711744324930713,4.30192,-0.6307455675069287,0.7908639002265435,0.0038462569343374,0.0001799999999999
2025-11-01,3.596513172470992,4.30192,-0.705406827529008,0.7827890955142395,-0.008074804712304,6.839000000002926e-05
2025-11-02,3.939577486793613,4.30192,-0.3623425132063871,0.8192834369958703,0.0364943414816307,8.006000000004843e-05
2025-11-03,3.9416724868029385,4.29798,-0.35630751319706144,0.8194828541865097,0.0001994171906394,0.00016
2025-11-04,3.836645645861196,4.29562,-0.4589743541388045,0.8085013083924754,-0.0109815457940343,0.00017898
2025-11-05,4.6733951562333145,4.2918,0.3815951562333142,0.8923370556812538,0.0838357472887784,0.00014608
2025-11-06,4.711059590824362,4.28686,0.42419959082436254,0.8959401460478674,0.0036030903666136,0.0001152599999999
2025-11-07,4.768960293457485,4.28204,0.48692029345748455,0.901439825297466,0.0054996792495984,0.0001299999999999
2025-11-08,5.799950179508448,4.28204,1.5179101795084478,0.9276531339448963,0.0262133086474305,0.00011
2025-11-09,5.993205076521945,4.28204,1.7111650765219446,0.9282279857084884,0.0005748517635919,7.935000000003356e-05
2025-11-10,4.96335304284371,4.268,0.6953530428437098,0.9195770252455484,-0.0086509604629401,0.0001180899999999
