date,deposit_apy,borrow_apy,utilization_rate,total_deposit_usd,total_borrow_usd
2023-01-25,2.3301266163408,4.00936712436,71.70772552700578,145094330.243441,104043844.086214
2023-01-26,2.397810021552,4.082256943416,73.77876993797878,146104551.856626,107794141.183215
2023-01-27,2.4667374557376,4.1564864874384,75.89961408827641,146091876.67913905,110883170.61378722
2023-01-28,2.4393964406832,4.1270423176224,74.97650764700133,149931289.14837533,112413244.47357932
2023-01-29,2.4810831348336,4.1719356805536,76.34101957303602,152102921.53783023,116116921.10235462
2023-01-30,2.379605755176,4.0626523493424,73.21863868085728,154331571.0404978,112999475.37063266
2023-01-31,2.4351454225728,4.1224642995744,74.92755157087446,153574893.3714644,115069907.43081944
2023-02-01,2.41344503424,4.0990946508432,74.31622465241144,155063841.602622,115237592.880064
2023-02-02,2.420041845096,4.1061989074752,74.46270920866218,158279973.09767288,117859556.10326888
2023-02-03,2.4185486974896,4.1045909026032,74.41688311675453,158183626.736365,117715324.618244
2023-02-04,2.4224500381248,4.1087923461216,74.53692434070591,158075701.34832448,117824765.91504084
2023-02-05,2.3248811010096,4.0037181059088,71.53480317814727,158213045.3049206,113177390.56102791
2023-02-06,2.3147391265632,3.99279598128,71.22274246347145,158863899.4544077,113147225.975841
2023-02-07,2.3309056059984,4.0102060355712,71.72017254305646,159656488.616076,114505909.111635
2023-02-08,2.3424704185392,4.022660447136,71.89559114016755,159848521.29142177,114924039.31128427
2023-02-09,2.4796270420272,4.170367581336,76.30418733122696,152217721.886192,116148495.659366
2023-02-10,2.4693915034224,4.15934469288,75.98127707344304,153027474.2511,116272229.20922
2023-02-11,2.4075292811472,4.092723836424,74.0778240707516,153118045.908235,113426516.668475
2023-02-12,2.394697213368,4.0789046886912,73.68281708402989,153478615.958102,113087367.859509
2023-02-13,2.1997094063472,3.8689178208048,67.67816735393104,153276013.01648155,103734396.60272752
2023-02-14,2.200525252128,3.8697964232256,67.70846941732115,153550397.48498774,103966623.92129798
2023-02-15,2.2268906316432,3.8981899081296,68.51971178840218,156948714.49931082,107540806.83052994
2023-02-16,2.3497692522912,4.030520732064,72.30059244561164,162784261.0098538,117693985.1183351
2023-02-17,2.2179041204688,3.8885121278352,68.24403574211132,176230079.45510396,120266518.41169232
2023-02-18,1.4960961940176,3.1111805132784,46.0330443107657,261501342.411932,120377028.8257318
2023-02-19,1.5360613505424,3.1542199126128,47.07841765808045,257335191.467146,121149336.220124
2023-02-20,1.6299938872656,3.2553780312672,50.15398382801533,256167346.11928105,128478129.34532028
2023-02-21,1.650483974376,3.2774442750432,50.78494324304571,255146293.53622225,129575900.35910527
2023-02-22,1.8508284012096,3.493199815272,56.94856628783038,227694342.24429563,129668663.42663206
2023-02-23,1.8687748387104,3.51252674748,57.50076430993468,225980636.2027757,129940593.00904898
2023-02-24,1.8804910839696,3.5251442443152,57.86126422693884,224669981.50567284,129996891.63761202
2023-02-25,1.8307687521168,3.4715971160064,56.33134630081985,225661165.06026664,127117972.3565635
2023-02-26,1.84914087516,3.4913824775856,56.89664235265385,225185720.56727985,128123114.06041168
2023-02-27,1.8729287227872,3.517000160616,57.62857612971665,224664694.0167848,129471064.22805776
2023-02-28,1.8725670584784,3.516610675248,57.61602755381007,225121501.2792375,129706066.20659636
2023-03-01,1.848110893632,3.4902732681648,56.86525050384916,223793366.8071178,127260658.64586556
2023-03-02,1.8574468615296,3.5003273864688,57.15221118361868,222558537.5436915,127197125.38414384
2023-03-03,1.9097473969872,3.5566510388256,58.76145840281093,212020368.34665865,124586260.55150834
2023-03-04,2.0024696072592,3.656505727296,61.6144495116961,203010993.56754968,125084106.13487051
2023-03-05,1.9951448635296,3.6486175456224,61.62840693113356,203009005.941726,125111216.288616
2023-03-06,1.9440479594304,3.5935901080128,59.816860354608814,206178589.99997765,123329559.26138808
2023-03-07,1.9777606656048,3.6298960983072,60.85417439013564,204776222.28290412,124614879.41757028
2023-03-08,2.009491990128,3.664068296616,61.835666820897394,205943051.17557627,127346258.96571957
2023-03-09,2.2695823402704,3.9441655960416,69.83327298791886,181542406.424514,126777004.267268
2023-03-10,2.3662698651072,4.048290621576,72.8083035802236,167516151.9355208,121965668.44712256
2023-03-11,1.7664523352496,3.4023332841552,54.7202598756106,141163934.2875399,77245271.692778
2023-03-12,1.7178868195632,3.350031957144,52.90891172187941,154803959.7652031,81905090.41414504
2023-03-13,2.022461958528,3.67803595368,62.22959878345434,162627113.47150034,101202200.22642767
2023-03-14,1.99417911768,3.6475775104176,61.36986305994798,171021965.60173276,104955946.09221472
2023-03-15,1.9963422318384,3.6499070179728,61.42591492810464,172910085.02768826,106211601.7312212
2023-03-16,2.0020339973376,3.6560366103744,61.60378590757817,174322152.95000774,107389045.89280371
2023-03-17,1.9088824307328,3.5557195379184,59.723502896501344,178213199.28219306,106435165.2352483
2023-03-18,1.9924908726096,3.6457594000992,61.30741157181618,182795376.1907524,112067113.61551423
2023-03-19,2.0472079865184,3.7046855230128,62.991015079274014,182515989.0534067,114968674.18671753
2023-03-20,2.0722300995744,3.7316324137536,63.76092626177269,182459475.60220456,116337851.69633876
2023-03-21,2.0460496597776,3.7034380944576,62.95537426519115,184951326.39013892,116436799.73734725
2023-03-22,2.1111118525872,3.7735050693888,64.95728786228516,184118766.81115824,119598557.3660136
2023-03-23,2.0886983690688,3.7493674749072,64.25399726000299,183809119.5144893,118104706.61647557
2023-03-24,2.1590945293824,3.825178719624,66.43465708441995,184798251.8395819,122770084.90762904
2023-03-25,2.149992643752,3.8153766906432,66.15361988371508,185182172.86360985,122504710.72859664
2023-03-26,2.0888162758656,3.749494448304,64.27127012501657,190686183.31903407,122556431.97206068
2023-03-27,2.1024696514608,3.7641980862288,64.69137401043017,189788152.9138944,122776563.82901455
2023-03-28,2.1475603004544,3.8127572442576,66.0787785308362,189337555.72766623,125111944.12498316
2023-03-29,2.1814066183536,3.8492071238592,67.1202037158867,187890549.84206823,126112519.81689586
2023-03-30,2.1740882795856,3.8413258359552,66.89502402429949,187680747.82590324,125549081.34712292
2023-03-31,2.2344406496352,3.9063206994048,68.75202008025238,187877114.2718263,129169311.3303647
2023-04-01,2.229982288632,3.9015193844016,68.61463350181258,188625777.94428724,129424886.2264155
2023-04-02,2.2032812557008,3.8727644275584,67.79326949430084,191017939.028062,129497306.1877533
2023-04-03,2.1452214298608,3.810238460784,66.00681329075543,192966889.36955345,127371294.3791397
2023-04-04,2.1365638675488,3.8009149338384,65.7404267935622,194019178.2457981,127549035.84014986
2023-04-05,2.1224016617472,3.7856633263776,65.30466661361204,195891931.64403108,127926572.88309927
2023-04-06,2.1485262323664,3.8137974812928,66.10849957761906,195849320.05502868,129473046.9213484
2023-04-07,2.1880372074192,3.8563477604208,67.32421107126609,195999304.6291569,131954985.54674736
2023-04-08,2.2018935424032,3.8712699680544,67.75057061443253,196530413.43792105,133150476.53509489
2023-04-09,2.1632922201168,3.8296993137696,66.56283763315237,198520947.66215512,132141176.0601557
2023-04-10,2.1364277203296,3.8007683135136,65.73623762518818,208654019.4638009,137161302.04923058
2023-04-11,2.1891558744864,3.8575524766176,67.3593249315344,209696018.4676938,141249822.44814426
2023-04-12,2.1341213822736,3.7982845633824,66.10618880764306,209680478.61895975,138611773.0886192
2023-04-13,2.3992020237456,4.083756022944,73.72335542150849,217702416.1495384,160497526.01913565
2023-04-14,2.8203932320272,4.4377457654736,80.55098308541127,220459900.14479077,177582616.87574497
2023-04-15,2.5990712787456,4.298999834808,79.89823572736314,227196458.2796969,181525961.8005325
2023-04-16,3.3599719056672,4.7749824368928,81.69644125889656,226120392.8103082,184732313.8866596
2023-04-17,4.1142490990416,5.2464056839344,83.78578060608235,234204707.7007985,196230242.5633075
2023-04-18,3.5691672735648,4.9057295418288,82.42291818942788,237023791.8332617,195361926.03220916
2023-04-19,2.5501276811088,4.2462913465008,78.46546719043866,238994664.67639148,187528280.19855285
