date,Lido_APY,Lido_TVL
2022-12-07,4.7,5827050199.0
2022-12-08,5.0,6049820121.0
2022-12-09,4.8,5974703310.0
2022-12-10,4.5,6028613481.0
2022-12-11,4.1,6012390465.0
2022-12-12,4.7,6053352028.0
2022-12-13,4.8,6265841246.0
2022-12-14,4.9,6225856615.0
2022-12-15,4.7,6023963845.0
2022-12-16,5.0,5685196904.0
2022-12-17,5.4,5607159373.0
2022-12-18,4.6,5631285759.0
2022-12-19,4.3,5605513021.0
2022-12-20,4.9,5795643490.0
2022-12-21,4.5,5793974294.0
2022-12-22,4.8,5798852544.0
2022-12-23,5.4,5826358459.0
2022-12-24,4.3,5824037691.0
2022-12-25,4.0,5800184754.0
2022-12-26,4.4,5819302332.0
2022-12-27,4.4,5789730094.0
2022-12-28,4.6,5669249698.0
2022-12-29,4.3,5718227732.0
2022-12-30,4.3,5737019199.0
2022-12-31,4.5,5722356688.0
2023-01-01,4.2,5741314254.0
2023-01-02,4.4,5832839417.0
2023-01-03,4.6,5798284845.0
2023-01-04,4.9,5998752856.0
2023-01-05,5.5,6002995483.0
2023-01-06,4.5,6072713110.0
2023-01-07,4.5,6083815367.0
2023-01-08,4.2,6101687202.0
2023-01-09,5.2,6371375334.0
2023-01-10,4.7,6450965311.0
2023-01-11,4.4,6481266893.0
2023-01-12,5.3,6850557186.0
2023-01-13,5.5,6985216931.0
2023-01-14,6.0,7415052776.0
2023-01-15,4.8,7515309583.0
2023-01-16,5.0,7662579723.0
2023-01-17,5.0,7671843598.0
2023-01-18,4.9,7437888933.0
2023-01-19,5.5,7570885159.0
2023-01-20,4.5,8081665298.0
2023-01-21,5.3,8089146659.0
2023-01-22,4.6,7966751218.0
2023-01-23,4.6,8125797506.0
2023-01-24,5.0,7787599145.0
2023-01-25,5.4,8036826105.0
2023-01-26,5.0,7990514125.0
2023-01-27,5.7,7980089286.0
2023-01-28,4.6,7825398568.0
2023-01-29,4.4,8222577842.0
2023-01-30,4.6,7788301946.0
2023-01-31,4.8,7888142136.0
2023-02-01,4.7,8215408628.0
2023-02-02,5.1,8306017890.0
2023-02-03,5.0,8321479253.0
2023-02-04,5.0,8455770307.0
2023-02-05,4.6,8259229000.0
2023-02-06,4.6,8299876201.0
2023-02-07,5.0,8426802837.0
