date,timestamp,X_USDC_Depeg_Risk,balance_usdc_normalized,balance_dai_normalized,balance_usdt_normalized,balance_total_normalized,raw_balance_usdc,raw_balance_dai,raw_balance_usdt
2023-04-14 23:51:47,1681516307,0.41267477793827255155504201340081285065529074086378,183631598.010976,191940216.239016739648148841,69407156.668466,444978970.918458739648148841,183631598010976,191940216239016739648148841,69407156668466
2023-04-15 23:56:23,1681602983,0.40757433712665007061592304681768556628892497478240,181787099.143673,189777202.793641114059437772,74457644.452270,446021946.389584114059437772,181787099143673,189777202793641114059437772,74457644452270
2023-04-16 23:59:11,1681689551,0.41097355338199127736685648622677644748804974866956,183875186.266836,190588115.908700812907063486,72950368.980884,447413671.156420812907063486,183875186266836,190588115908700812907063486,72950368980884
2023-04-17 23:59:35,1681775975,0.39142643925099728895703264090091543689624419105745,172312367.004560,191176690.977564981339493177,76727416.240422,440216474.222546981339493177,172312367004560,191176690977564981339493177,76727416240422
2023-04-18 23:58:59,1681862339,0.39550234500752540120532030535959431249062740690448,174311011.811779,179199994.832491079786191158,87222187.512802,440733194.157072079786191158,174311011811779,179199994832491079786191158,87222187512802
2023-04-19 23:50:35,1681948235,0.40359280885526646646758681571623686201643848078109,177324533.995520,176718099.130689837709184218,85322316.161355,439364949.287564837709184218,177324533995520,176718099130689837709184218,85322316161355
2023-04-20 23:53:35,1682034815,0.37106694675510531162301561771607415824353627426432,163944347.172506,179457125.993456967534623225,98417310.765512,441818783.931474967534623225,163944347172506,179457125993456967534623225,98417310765512
2023-04-21 23:52:35,1682121155,0.29520809446175705769408836018645141769188861351059,120689349.304415,130959937.241250944515730034,157178762.442841,408828048.988506944515730034,120689349304415,130959937241250944515730034,157178762442841
2023-04-22 23:47:35,1682207255,0.31886333186863443818425372220539624932334686056034,130237273.199420,132959974.203030322919318115,145245054.307786,408442301.710236322919318115,130237273199420,132959974203030322919318115,145245054307786
2023-04-23 23:52:59,1682293979,0.35383750246952425209908461080584236246395459794478,144769937.872085,134790030.257714694898532289,129582468.332412,409142436.462211694898532289,144769937872085,134790030257714694898532289,129582468332412
2023-04-24 23:51:47,1682380307,0.37535801294799790859199416319337098144914759488047,152026423.936094,141061215.991147366791513041,111929486.900835,405017126.828076366791513041,152026423936094,141061215991147366791513041,111929486900835
2023-04-25 23:55:23,1682466923,0.37521010059027882986398606770851127516743392080303,152746578.666494,137870852.902584519961410425,116478695.177493,407096126.746571519961410425,152746578666494,137870852902584519961410425,116478695177493
2023-04-26 23:54:59,1682553299,0.38016525459164230207815588024610785787285802519599,155097546.552919,149023483.451385871878558935,103852988.346000,407974018.350304871878558935,155097546552919,149023483451385871878558935,103852988346000
2023-04-27 23:39:35,1682638775,0.37122581204591973384804832426678547239696099217355,150360674.675208,158805444.593261960944478221,95872188.403435,405038307.671904960944478221,150360674675208,158805444593261960944478221,95872188403435
2023-04-28 23:57:59,1682726279,0.41310411721823897995777062513362893933603890590002,167622927.670891,163350976.774230124920802202,74790455.396244,405764359.841365124920802202,167622927670891,163350976774230124920802202,74790455396244
2023-04-29 23:52:35,1682812355,0.41966008365919647055542446421731487341738338123583,170888545.718166,166139532.289108108769230186,70178974.491299,407207052.498573108769230186,170888545718166,166139532289108108769230186,70178974491299
2023-04-30 23:53:35,1682898815,0.39714308866887545519507779607281755945381559063527,163747772.487092,164604604.348836724649509284,83961917.832861,412314294.668789724649509284,163747772487092,164604604348836724649509284,83961917832861
2023-05-01 23:55:23,1682985323,0.36789135040768954793833787150237276008983286309963,148519485.922916,161175615.261548362671739517,94009649.575046,403704750.759510362671739517,148519485922916,161175615261548362671739517,94009649575046
2023-05-02 23:58:59,1683071939,0.39053818575235485449815200720872892737235690396287,157511830.155808,155914686.233445935873828419,89893404.433260,403319920.822513935873828419,157511830155808,155914686233445935873828419,89893404433260
